zip,count,share
90245,"20,196",27.4
90670,"13,030",21.3
91355,"10,966",21.2
90040,"8,647",17.4
90058,"18,760",42.2
90248,"9,209",25.2
91311,"9,730",27.3
90250,"7,278",27
91746,"8,521",36.6
93550,"6,611",36.4
